#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19,nonsep_20,nonsep_21,nonsep_22,nonsep_23,nonsep_24,nonsep_25,nonsep_26,nonsep_27,nonsep_28,nonsep_29,nonsep_30,nonsep_31
0,0,1_data_a[0],2_autoCreatedSpl2id1,3_and_bb_45_,4_autoCreatedSpl2id6,5_and_bi_47_,6_autoCreatedSpl2id7,7_and_bi_51_,8_autoCreatedSpl2id8,9_and_bi_53_,10_autoCreatedSpl2id12,11_and_bi_58_,12_autoCreatedSpl2id14,13_and_bi_60_,14_autoCreatedSpl2id19,15_and_bi_65_,16_or_bb_67_,17_autoCreatedSpl2id24,18_and_bi_73_,19_autoCreatedSpl2id26,20_and_bi_75_,21_autoCreatedSpl2id30,22_and_bi_80_,23_autoCreatedSpl2id32,24_and_bi_82_,25_autoCreatedSpl2id36,26_and_bi_87_,27_autoCreatedSpl2id38,28_and_bi_89_,29_autoCreatedSpl2id43,30_or_bb_94_,31_and_bi_96_,32_result[0]
1,,1_data_a[1],2_autoCreatedSpl2id2,3_or_bb_46_,4_autoCreatedSpl2id11,5_or_ii_50_,6_autoCreatedSpl2id46,7_or_bi_52_,8_bfr_autonet4_,9_or_bi_54_,10_autoCreatedSpl2id13,11_or_bi_59_,12_bfr_autonet8_,13_or_bi_61_,14_autoCreatedSpl3id20,15_and_bi_66_,16_and_bi_72_,17_autoCreatedSpl2id25,18_or_bi_74_,19_bfr_autonet15_,20_or_bb_76_,21_autoCreatedSpl2id31,22_or_bi_81_,23_bfr_autonet19_,24_or_bb_83_,25_autoCreatedSpl2id37,26_or_bi_88_,27_bfr_autonet23_,28_or_bb_90_,29_autoCreatedSpl3id44,30_and_bb_95_,31_or_bb_98_,32_result[1]
2,,1_data_a[2],2_autoCreatedSpl2id4,3_or_bb_48_,4_autoCreatedSpl2id17,5_or_ii_57_,6_bfr_autonet2_,7_bfr_autonet3_,8_bfr_autonet29_,9_bfr_autonet5_,10_bfr_autonet6_,11_bfr_autonet7_,12_bfr_autonet32_,13_bfr_autonet9_,14_bfr_autonet10_,15_or_ii_71_,16_bfr_autonet12_,17_bfr_autonet13_,18_bfr_autonet14_,19_bfr_autonet39_,20_bfr_autonet16_,21_bfr_autonet17_,22_bfr_autonet18_,23_bfr_autonet43_,24_bfr_autonet20_,25_bfr_autonet21_,26_bfr_autonet22_,27_bfr_autonet47_,28_bfr_autonet24_,29_bfr_autonet25_,30_and_bb_97_,31_bfrresult[0],32_result[2]
3,,1_data_a[3],2_autoCreatedSpl2id5,3_or_ii_49_,4_autoCreatedSpl2id18,5_and_bi_64_,6_bfr_autonet53_,7_bfr_autonet54_,8_bfr_autonet55_,9_bfr_10_,10_bfr_autonet30_,11_bfr_autonet31_,12_bfr_autonet57_,13_bfr_autonet33_,14_bfr_autonet34_,15_bfr_autonet11_,16_bfr_autonet36_,17_bfr_autonet37_,18_bfr_autonet38_,19_bfr_autonet63_,20_bfr_autonet40_,21_bfr_autonet41_,22_bfr_autonet42_,23_bfr_autonet67_,24_bfr_autonet44_,25_bfr_autonet45_,26_bfr_autonet46_,27_bfr_autonet71_,28_bfr_autonet48_,29_bfr_autonet49_,30_bfr_autonet26_,31_bfrresult[1],32_result[3]
4,,1_data_a[4],2_autoCreatedSpl2id9,3_or_ii_55_,4_autoCreatedSpl2id23,5_and_bi_70_,6_bfr_autonet76_,7_bfr_autonet77_,8_bfr_autonet78_,9_bfr_autonet79_,10_bfr_autonet80_,11_bfr_autonet81_,12_bfr_autonet82_,13_bfr_16_,14_bfr_autonet58_,15_bfr_autonet35_,16_bfr_autonet60_,17_bfr_autonet61_,18_bfr_autonet62_,19_bfr_autonet86_,20_bfr_autonet64_,21_bfr_autonet65_,22_bfr_autonet66_,23_bfr_autonet90_,24_bfr_autonet68_,25_bfr_autonet69_,26_bfr_autonet70_,27_bfr_autonet94_,28_bfr_autonet72_,29_bfr_autonet73_,30_bfr_autonet50_,31_bfrresult[2],32_result[4]
5,,1_data_a[5],2_autoCreatedSpl2id10,3_or_bb_56_,4_autoCreatedSpl2id29,5_or_bi_79_,6_bfr_autonet100_,7_bfr_autonet101_,8_bfr_autonet102_,9_bfr_autonet103_,10_bfr_autonet104_,11_bfr_autonet105_,12_bfr_autonet106_,13_bfr_autonet107_,14_bfr_autonet108_,15_bfr_autonet59_,16_bfr_21_,17_bfr_autonet84_,18_bfr_autonet85_,19_bfr_autonet111_,20_bfr_autonet87_,21_bfr_autonet88_,22_bfr_autonet89_,23_bfr_autonet114_,24_bfr_autonet91_,25_bfr_autonet92_,26_bfr_autonet93_,27_bfr_autonet118_,28_bfr_autonet95_,29_bfr_autonet96_,30_bfr_autonet74_,31_bfrresult[3],32_result[5]
6,,1_data_a[6],2_autoCreatedSpl2id15,3_or_bb_62_,4_autoCreatedSpl2id35,5_or_bi_86_,6_bfr_autonet124_,7_bfr_autonet125_,8_bfr_autonet126_,9_bfr_autonet127_,10_bfr_autonet128_,11_bfr_autonet129_,12_bfr_autonet130_,13_bfr_autonet131_,14_bfr_autonet132_,15_bfr_autonet109_,16_bfr_autonet134_,17_bfr_autonet135_,18_bfr_autonet136_,19_bfr_autonet137_,20_bfr_29_,21_bfr_autonet112_,22_bfr_autonet113_,23_bfr_autonet139_,24_bfr_autonet115_,25_bfr_autonet116_,26_bfr_autonet117_,27_bfr_autonet142_,28_bfr_autonet119_,29_bfr_autonet120_,30_bfr_autonet97_,31_bfrresult[4],32_result[6]
7,,1_data_a[7],2_autoCreatedSpl2id16,3_and_bb_63_,4_autoCreatedSpl2id41,5_and_bi_93_,6_bfr_autonet148_,7_bfr_autonet149_,8_bfr_autonet150_,9_bfr_autonet151_,10_bfr_autonet152_,11_bfr_autonet153_,12_bfr_autonet154_,13_bfr_autonet155_,14_bfr_autonet156_,15_bfr_autonet133_,16_bfr_autonet158_,17_bfr_autonet159_,18_bfr_autonet160_,19_bfr_autonet161_,20_bfr_autonet162_,21_bfr_autonet163_,22_bfr_autonet164_,23_bfr_autonet165_,24_bfr_35_,25_bfr_autonet140_,26_bfr_autonet141_,27_bfr_autonet167_,28_bfr_autonet143_,29_bfr_autonet144_,30_bfr_autonet121_,31_bfrresult[5],32_result[7]
8,,1_data_b[0],2_autoCreatedSpl2id21,3_and_bb_68_,4_autoCreatedSpl2id42,5_bfr_autonet194_,6_bfr_autonet171_,7_bfr_autonet172_,8_bfr_autonet173_,9_bfr_autonet174_,10_bfr_autonet175_,11_bfr_autonet176_,12_bfr_autonet177_,13_bfr_autonet178_,14_bfr_autonet179_,15_bfr_autonet157_,16_bfr_autonet181_,17_bfr_autonet182_,18_bfr_autonet183_,19_bfr_autonet184_,20_bfr_autonet185_,21_bfr_autonet186_,22_bfr_autonet187_,23_bfr_autonet188_,24_bfr_autonet189_,25_bfr_autonet190_,26_bfr_autonet191_,27_bfr_autonet192_,28_bfr_41_,29_bfr_autonet168_,30_bfr_autonet145_,31_bfrresult[6],32_result[8]
9,,1_data_b[1],2_autoCreatedSpl2id22,3_or_bb_69_,4_autoCreatedSpl2id45,5_bfr_autonet198_,6_bfr_autonet195_,7_bfr_autonet196_,8_bfrautoSplNet13,9_bfr_autonet202_,10_bfr_autonet203_,11_bfr_autonet204_,12_bfrautoSplNet23,13_bfr_autonet214_,14_bfrautoSplNet35,15_bfr_autonet180_,16_bfr_autonet238_,17_bfr_autonet239_,18_bfr_autonet240_,19_bfrautoSplNet48,20_bfr_autonet257_,21_bfr_autonet258_,22_bfr_autonet259_,23_bfrautoSplNet60,24_bfr_autonet280_,25_bfr_autonet281_,26_bfr_autonet282_,27_bfrautoSplNet72,28_bfr_autonet307_,29_bfrautoSplNet84,30_bfr_autonet169_,,
10,,1_data_b[2],2_autoCreatedSpl2id27,3_and_bb_77_,4_bfr_autonet1_,5_bfr_autonet206_,6_bfr_autonet199_,7_bfr_autonet200_,8_bfr_autonet201_,9_bfr_autonet210_,10_bfr_autonet211_,11_bfr_autonet212_,12_bfr_autonet213_,13_bfr_autonet224_,14_bfr_autonet225_,15_bfrautoSplNet37,16_bfr_autonet253_,17_bfr_autonet254_,18_bfr_autonet255_,19_bfr_autonet256_,20_bfr_autonet276_,21_bfr_autonet277_,22_bfr_autonet278_,23_bfr_autonet279_,24_bfr_autonet303_,25_bfr_autonet304_,26_bfr_autonet305_,27_bfr_autonet306_,28_bfr_autonet332_,29_bfr_autonet333_,30_bfrautoSplNet86,,
11,,1_data_b[3],2_autoCreatedSpl2id28,3_or_bb_78_,4_bfr_autonet28_,5_bfr_autonet216_,6_bfr_autonet207_,7_bfr_autonet208_,8_bfr_autonet209_,9_bfr_autonet220_,10_bfr_autonet221_,11_bfr_autonet222_,12_bfr_autonet223_,13_bfr_autonet235_,14_bfr_autonet236_,15_bfr_autonet237_,16_bfr_autonet272_,17_bfr_autonet273_,18_bfr_autonet274_,19_bfr_autonet275_,20_bfr_autonet299_,21_bfr_autonet300_,22_bfr_autonet301_,23_bfr_autonet302_,24_bfr_autonet328_,25_bfr_autonet329_,26_bfr_autonet330_,27_bfr_autonet331_,,,,,
12,,1_data_b[4],2_autoCreatedSpl2id33,3_and_bb_84_,4_bfr_autonet52_,5_bfr_autonet227_,6_bfr_autonet217_,7_bfr_autonet218_,8_bfr_autonet219_,9_bfr_autonet231_,10_bfr_autonet232_,11_bfr_autonet233_,12_bfr_autonet234_,13_bfr_autonet250_,14_bfr_autonet251_,15_bfr_autonet252_,16_bfr_autonet295_,17_bfr_autonet296_,18_bfr_autonet297_,19_bfr_autonet298_,20_bfr_autonet324_,21_bfr_autonet325_,22_bfr_autonet326_,23_bfr_autonet327_,,,,,,,,,
13,,1_data_b[5],2_autoCreatedSpl2id34,3_or_bb_85_,4_bfr_autonet99_,5_bfr_autonet242_,6_bfr_autonet228_,7_bfr_autonet229_,8_bfr_autonet230_,9_bfr_autonet246_,10_bfr_autonet247_,11_bfr_autonet248_,12_bfr_autonet249_,13_bfr_autonet269_,14_bfr_autonet270_,15_bfr_autonet271_,16_bfr_autonet320_,17_bfr_autonet321_,18_bfr_autonet322_,19_bfr_autonet323_,,,,,,,,,,,,,
14,,1_data_b[6],2_autoCreatedSpl2id39,3_and_bb_91_,4_bfr_autonet123_,5_bfr_autonet261_,6_bfr_autonet243_,7_bfr_autonet244_,8_bfr_autonet245_,9_bfr_autonet265_,10_bfr_autonet266_,11_bfr_autonet267_,12_bfr_autonet268_,13_bfr_autonet292_,14_bfr_autonet293_,15_bfr_autonet294_,,,,,,,,,,,,,,,,,
15,,1_data_b[7],2_autoCreatedSpl2id40,3_or_bb_92_,4_bfr_autonet147_,5_bfr_autonet284_,6_bfr_autonet262_,7_bfr_autonet263_,8_bfr_autonet264_,9_bfr_autonet288_,10_bfr_autonet289_,11_bfr_autonet290_,12_bfr_autonet291_,13_bfr_autonet317_,14_bfr_autonet318_,15_bfr_autonet319_,,,,,,,,,,,,,,,,,
16,,,,,,5_bfr_autonet309_,6_bfr_autonet285_,7_bfr_autonet286_,8_bfr_autonet287_,9_bfr_autonet313_,10_bfr_autonet314_,11_bfr_autonet315_,12_bfr_autonet316_,,,,,,,,,,,,,,,,,,,,
17,,,,,,5_bfr_autonet335_,6_bfr_autonet310_,7_bfr_autonet311_,8_bfr_autonet312_,,,,,,,,,,,,,,,,,,,,,,,,
